,flux,z,f,enz,met_concentration,reaction,gpr
PFL,1.029411764709337,1.0,-0.6324221843650761,0.0005718954248385206,;accoa_c : 0.002373956248045731;coa_c : 4.999999992621096e-07;for_c : 4.999999992621096e-07;pyr_c : 4.999999992621096e-07,coa_c + pyr_c --> accoa_c + for_c,( b3951 and b3952 ) or ( b0902 and b0903 ) or ( b0902 and b3114 ) or ( b0903 and b0902 and b2579 )
THRS,1.0294117647056285,1.0,10.960386348329948,0.0033680208294088985,;pi_c : 0.020000000008563314;thr__L_c : 0.02000000000856292;phom_c : 4.999999992621096e-07;h2o_c : 1.0,h2o_c + phom_c --> pi_c + thr__L_c,b0004
HSK,1.0294117647056285,1.0,66.56708793639666,0.00011869866053111537,;hom__L_c : 0.02000000000856292;atp_c : 6.120603343766619e-06;phom_c : 4.999999992621096e-07;adp_c : 6.120603343766612e-07;h_c : 1.0,atp_c + hom__L_c --> adp_c + h_c + phom_c,b0003
HSDy_reverse,1.0294117647056282,1.0,-0.39035402673335895,0.00014324939660254177,;hom__L_c : 0.02000000000856292;nadp_c : 0.0020000000008562916;h_c : 1.0;aspsa_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,b3940 or b0002
ASPTA_reverse,1.0294117647056282,1.0,-0.6324251843655637,0.0005928349671550999,;akg_c : 4.999999992621096e-07;glu__L_c : 4.999999992621096e-07;asp__L_c : 7.939539799718098e-05;oaa_c : 2.0181220057413547e-05,glu__L_c + oaa_c --> akg_c + asp__L_c,b0928 or b4054
ADK1,1.0294117647056282,1.0,7.638366954831647,0.00021756008854280522,;atp_c : 6.120603343766619e-06;adp_c : 6.120603343766612e-07;amp_c : 6.120603343766612e-07,amp_c + atp_c --> 2.0 adp_c,b0474
FTHFLi,1.0294117647056282,1.0,-0.6324251843656921,-9999.0,;10fthf_c : 3.708269871039224e-06;thf_c : 0.0023675963145962558;adp_c : 6.120603343766612e-07;pi_c : 0.020000000008563314;atp_c : 6.120603343766619e-06;for_c : 4.999999992621096e-07,atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c,
ASPK,1.0294117647056282,1.0,-0.6324251843655304,7.912919626094148e-05,;4pasp_c : 8.087206799966057e-07;asp__L_c : 7.939539799718098e-05;adp_c : 6.120603343766612e-07;atp_c : 6.120603343766619e-06,asp__L_c + atp_c --> 4pasp_c + adp_c,b3940 or b0002 or b4024
ASAD_reverse,1.0294117647056282,1.0,-0.6324251843654061,0.0018163534858207208,;nadp_c : 0.0020000000008562916;nadph_c : 0.02000000000856292;pi_c : 0.020000000008563314;h_c : 1.0;aspsa_c : 4.999999992621096e-07;4pasp_c : 8.087206799966057e-07,4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c,b3433
GLYAT_reverse,1.0294117647053653,1.0,8.744804601957732,0.0008862531450255168,;accoa_c : 0.002373956248045731;2aobut_c : 7.545069878483366e-06;gly_c : 8.424735500047659e-05;coa_c : 4.999999992621096e-07,2aobut_c + coa_c --> accoa_c + gly_c,b3617
THRD,1.0294117647053653,1.0,-0.6324251843655198,0.0005139405436805364,;nad_c : 4.999999992621083e-06;2aobut_c : 7.545069878483366e-06;nadh_c : 4.999999992621078e-07;thr__L_c : 0.02000000000856292;h_c : 1.0,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c,b3616 or b3589
MTHFC_reverse,1.029411764703866,1.0,-0.6324251843655286,0.0005919910119515323,;10fthf_c : 3.708269871039224e-06;methf_c : 4.999999992621096e-07;h2o_c : 1.0;h_c : 1.0,10fthf_c + h_c --> h2o_c + methf_c,b0529
MTHFD_reverse,1.029411764703866,1.0,-0.6324251843655198,0.0011097560113659472,;nadp_c : 0.0020000000008562916;mlthf_c : 0.00014211498863207967;methf_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292,methf_c + nadph_c --> mlthf_c + nadp_c,b0529
GHMT2r_reverse,1.0294117647026013,1.0,-0.632425184365661,0.001273179750621149,;mlthf_c : 0.00014211498863207967;gly_c : 8.424735500047659e-05;thf_c : 0.0023675963145962558;ser__L_c : 4.999999992621096e-07;h2o_c : 1.0,gly_c + h2o_c + mlthf_c --> ser__L_c + thf_c,b2551
PPC,1.0294117646664347,1.0,24.525732593719887,0.00010491380265079395,;pep_c : 1.3642145078534573e-05;h2o_c : 1.0;h_c : 1.0;pi_c : 0.020000000008563314;co2_c : 9.999999999761818e-05;oaa_c : 2.0181220057413547e-05,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,b3956
PPS,1.0294117646591925,1.0,9.200497994168403,0.00024267836058552612,;pi_c : 0.020000000008563314;pyr_c : 4.999999992621096e-07;amp_c : 6.120603343766612e-07;h_c : 1.0;pep_c : 1.3642145078534573e-05;atp_c : 6.120603343766619e-06;h2o_c : 1.0,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,b1702
